service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6745,1,1,1,1,1,1,1,20260106,20260316
866,1,1,1,1,1,1,1,20260106,20260211
6258,1,1,1,1,1,1,1,20251214,20261212
6531,1,1,1,1,1,1,1,20251205,20260202
6148,1,1,1,1,1,1,1,20260106,20260203
6355,1,1,1,1,1,1,1,20251205,20260202
6260,1,1,1,1,1,1,1,20251214,20261212
6357,1,1,1,1,1,1,1,20251205,20260202
846,1,1,1,1,1,0,0,20260106,20260211
6747,1,1,1,1,1,1,1,20260106,20260316
6262,1,1,1,1,1,1,1,20251214,20261212
6533,1,1,1,1,1,1,1,20251205,20260202
6152,1,1,1,1,1,1,1,20260106,20260203
6359,1,1,1,1,1,1,1,20251205,20260202
822,1,1,1,1,1,1,1,20251214,20261212
6264,1,1,1,1,1,1,1,20251214,20260202
6361,1,1,1,1,1,1,1,20251205,20260202
848,1,1,1,1,1,1,1,20260106,20260211
6749,1,1,1,1,1,1,1,20260106,20260316
6266,1,1,1,1,1,1,1,20251214,20261212
6535,1,1,1,1,1,1,1,20251205,20260202
6154,1,1,1,1,1,1,1,20260106,20260203
6363,1,1,1,1,1,1,1,20251205,20260202
6751,1,1,1,1,1,1,1,20260106,20260316
850,1,1,1,1,1,1,1,20260106,20260211
6268,1,1,1,1,1,1,1,20251214,20261212
6537,1,1,1,1,1,1,1,20251205,20260202
6156,1,1,1,1,1,1,1,20260106,20260203
6753,1,1,1,1,1,1,1,20260106,20260316
6270,1,1,1,1,1,1,1,20251214,20260202
6539,1,1,1,1,1,1,1,20251205,20260202
6158,1,1,1,1,1,1,1,20260106,20260203
708,0,0,0,0,1,1,0,20251214,20261212
872,1,0,0,0,0,1,1,20260106,20260203
834,1,0,0,0,0,1,1,20260106,20260203
820,0,0,0,0,0,1,0,20251214,20261212
806,1,0,0,0,0,0,1,20251214,20261212
721,1,0,0,0,0,0,0,20251214,20260212
868,1,0,0,0,0,0,0,20260106,20260203
6160,1,1,1,1,1,1,1,20260204,20260319
6162,1,1,1,1,1,0,0,20260204,20260319
6164,1,1,1,1,1,1,1,20260204,20260319
6166,1,1,1,1,1,1,1,20260204,20260319
6168,1,1,1,1,1,1,1,20260204,20260319
6170,1,1,1,1,1,1,1,20260204,20260319
6203,1,1,1,1,1,1,1,20251214,20261212
6207,1,1,1,1,1,1,1,20251214,20261212
6215,1,1,1,1,1,1,1,20260106,20260203
6219,1,1,1,1,1,1,1,20251214,20261212
6223,1,1,1,1,1,1,1,20251214,20260202
6229,1,1,1,1,1,1,1,20251214,20261212
6231,1,1,1,1,1,1,1,20251214,20260202
6235,1,1,1,1,1,1,1,20251214,20261212
6239,1,1,1,1,1,1,1,20251214,20261212
6247,1,1,1,1,1,1,1,20251214,20261212
6251,1,1,1,1,1,1,1,20251214,20261212
6257,1,1,1,1,1,1,1,20251214,20261212
6261,1,1,1,1,1,1,1,20251214,20261212
6265,1,1,1,1,1,1,1,20251214,20261212
6269,1,1,1,1,1,1,1,20251214,20261212
6135,1,1,1,1,1,0,0,20260106,20260203
6139,1,1,1,1,1,0,0,20260106,20260203
847,1,1,1,1,1,1,1,20260106,20260211
839,1,1,1,1,1,1,1,20260106,20260211
821,1,1,1,1,1,1,1,20251214,20261212
813,1,1,1,1,1,1,1,20251214,20261212
801,1,1,1,1,1,1,1,20251214,20261212
823-6243,1,1,1,1,1,1,1,20251214,20261212
809,1,1,1,1,1,1,1,20251214,20261212
825,1,1,1,1,1,1,1,20251214,20261212
6302,1,1,1,1,1,1,1,20251205,20260202
6304,1,1,1,1,1,1,1,20251205,20260202
6306,1,1,1,1,1,1,1,20251205,20260202
6308,1,1,1,1,1,1,1,20251205,20260202
6310,1,1,1,1,1,1,1,20251205,20260202
6312,1,1,1,1,1,1,1,20251205,20260202
6314,1,1,1,1,1,1,1,20251205,20260202
6316,1,1,1,1,1,1,1,20251205,20260202
6318,1,1,1,1,1,1,1,20251205,20260202
6320,1,1,1,1,1,1,1,20251205,20260202
6322,1,1,1,1,1,1,1,20251205,20260202
6324,1,1,1,1,1,1,1,20251205,20260202
6326,1,1,1,1,1,1,1,20251205,20260202
6328,1,1,1,1,1,1,1,20251205,20260202
6330,1,1,1,1,1,1,1,20251205,20260202
6332,1,1,1,1,1,1,1,20251205,20260202
6334,1,1,1,1,1,1,1,20251205,20260202
6336,1,1,1,1,1,1,1,20251205,20260202
6338,1,1,1,1,1,1,1,20251205,20260202
6340,1,1,1,1,1,1,1,20251205,20260202
6342,1,1,1,1,1,1,1,20251205,20260202
6344,1,1,1,1,1,1,1,20251205,20260202
6346,1,1,1,1,1,1,1,20251205,20260202
6348,1,1,1,1,1,1,1,20251205,20260202
6350,1,1,1,1,1,1,1,20251205,20260202
6352,1,1,1,1,1,1,1,20251205,20260202
6354,1,1,1,1,1,1,1,20251205,20260202
6356,1,1,1,1,1,1,1,20251205,20260202
6358,1,1,1,1,1,1,1,20251205,20260202
6360,1,1,1,1,1,1,1,20251205,20260202
6362,1,1,1,1,1,1,1,20251205,20260202
705,1,1,1,1,1,0,0,20251214,20261212
6520,1,1,1,1,1,1,1,20251205,20260202
819,0,0,0,0,0,0,1,20251214,20261212
807,0,0,0,0,0,0,1,20251214,20261212
805,1,0,0,0,0,0,0,20251214,20261212
6201,1,1,1,1,1,1,1,20251214,20261212
6205,1,1,1,1,1,1,1,20251214,20261212
6211,1,1,1,1,1,1,1,20251214,20261212
6217,1,1,1,1,1,1,1,20251214,20261212
6221,1,1,1,1,1,1,1,20251214,20261212
6227,1,1,1,1,1,1,1,20251214,20261212
6233,1,1,1,1,1,1,1,20251214,20261212
6241,1,1,1,1,1,1,1,20251214,20261212
6245,1,1,1,1,1,1,1,20251214,20261212
6249,1,1,1,1,1,1,1,20251214,20261212
6255,1,1,1,1,1,1,1,20251214,20261212
6259,1,1,1,1,1,1,1,20251214,20261212
6263,1,1,1,1,1,1,1,20251214,20261212
6267,1,1,1,1,1,1,1,20251214,20261212
724,1,1,1,1,1,1,1,20260106,20260202
722,1,0,0,0,0,0,0,20251214,20260212
703,0,1,1,1,1,1,0,20251214,20261212
707,0,0,0,0,0,1,1,20251214,20261212
815,1,1,1,1,1,0,0,20251214,20261212
817,1,0,0,0,0,0,0,20251214,20261212
6209,1,1,1,1,1,0,0,20251214,20261212
6213,1,1,1,1,1,0,0,20251214,20261212
6225,1,1,1,1,1,1,1,20251214,20261212
6237,1,1,1,1,1,1,1,20251214,20261212
6253,1,1,1,1,1,0,0,20251214,20260203
6702,1,1,1,1,1,1,1,20251214,20260202
6704,1,1,1,1,1,1,1,20260106,20260316
6706,1,1,1,1,1,0,0,20260106,20260202
6708,1,1,1,1,1,1,1,20251214,20261212
6710,1,1,1,1,1,0,0,20260106,20260202
6712,1,1,1,1,1,1,1,20260106,20260316
6714,1,1,1,1,1,0,0,20260106,20260202
6716,1,1,1,1,1,1,1,20251214,20261212
6718,1,1,1,1,1,0,0,20260106,20260202
6720,1,1,1,1,1,1,1,20251214,20261212
6722,1,1,1,1,1,1,1,20260106,20260316
6724,1,1,1,1,1,1,1,20260106,20260316
6726,1,1,1,1,1,1,1,20260106,20260316
6728,1,1,1,1,1,1,1,20260106,20260316
6730,1,1,1,1,1,1,1,20260106,20260316
6732,1,1,1,1,1,1,1,20260106,20260316
6736,1,1,1,1,1,1,1,20260106,20260316
6738,1,1,1,1,1,0,0,20260106,20260202
6740,1,1,1,1,1,1,1,20260106,20260316
6742,1,1,1,1,1,1,1,20260106,20260316
6744,1,1,1,1,1,0,0,20260106,20260316
6746,1,1,1,1,1,0,0,20260106,20260202
6748,1,1,1,1,1,1,1,20260106,20260316
6750,1,1,1,1,1,1,1,20260106,20260316
6752,1,1,1,1,1,1,1,20260106,20260316
6754,1,1,1,1,1,1,1,20260106,20260316
6366,1,1,1,1,1,0,0,20260106,20260202
6364,1,1,1,1,1,1,1,20251205,20260202
6518,1,1,1,1,1,1,1,20251205,20260202
6502,1,1,1,1,1,1,1,20251205,20260202
6504,1,1,1,1,1,1,1,20251205,20260202
6506,1,1,1,1,1,1,1,20251205,20260202
6508,1,1,1,1,1,1,1,20251205,20260202
6510,1,1,1,1,1,1,1,20251205,20260202
6512,1,1,1,1,1,1,1,20251205,20260202
6514,1,1,1,1,1,1,1,20251205,20260202
6516,1,1,1,1,1,1,1,20251205,20260202
6522,1,1,1,1,1,1,1,20251205,20260202
6524,1,1,1,1,1,1,1,20251205,20260202
6526,1,1,1,1,1,1,1,20251205,20260202
6528,1,1,1,1,1,1,1,20251205,20260202
6530,1,1,1,1,1,1,1,20251205,20260202
6532,1,1,1,1,1,1,1,20251205,20260202
6534,1,1,1,1,1,1,1,20251205,20260202
6536,1,1,1,1,1,1,1,20251205,20260202
6538,1,1,1,1,1,1,1,20251205,20260202
6540,1,1,1,1,1,1,1,20251205,20260202
6103,1,1,1,1,1,0,0,20260106,20260203
6107,1,1,1,1,1,0,0,20260106,20260203
6111,1,1,1,1,1,0,0,20260106,20260203
6115,1,1,1,1,1,0,0,20260106,20260203
6121,1,1,1,1,1,1,1,20260106,20260203
6125,1,1,1,1,1,1,1,20260106,20260203
6127,1,1,1,1,1,0,0,20260106,20260203
6133,1,1,1,1,1,1,1,20260106,20260203
6145,1,1,1,1,1,0,0,20260106,20260203
6149,1,1,1,1,1,0,0,20260106,20260203
6157,1,1,1,1,1,0,0,20260204,20260319
6161,1,1,1,1,1,0,0,20260204,20260319
6165,1,1,1,1,1,0,0,20260204,20260319
6101,1,1,1,1,1,1,1,20260106,20260203
6105,1,1,1,1,1,1,1,20260106,20260203
6109,1,1,1,1,1,1,1,20260106,20260203
6113,1,1,1,1,1,1,1,20260106,20260203
6117,1,1,1,1,1,1,1,20260106,20260203
6119,1,1,1,1,1,1,1,20260106,20260203
6123,1,1,1,1,1,1,1,20260106,20260203
6129,1,1,1,1,1,1,1,20260106,20260203
6137,1,1,1,1,1,1,1,20260106,20260203
6141,1,1,1,1,1,1,1,20260106,20260203
6143,1,1,1,1,1,1,1,20260106,20260203
6147,1,1,1,1,1,1,1,20260106,20260203
6151,1,1,1,1,1,1,1,20260106,20260203
6153,1,1,1,1,1,1,1,20260106,20260203
6155,1,1,1,1,1,1,1,20260106,20260203
6159,1,1,1,1,1,1,1,20260204,20260319
6163,1,1,1,1,1,1,1,20260204,20260319
6167,1,1,1,1,1,1,1,20260204,20260319
6169,1,1,1,1,1,1,1,20260204,20260319
6108,1,1,1,1,1,0,0,20260106,20260203
830,1,1,1,1,1,1,1,20260106,20260211
6112,1,1,1,1,1,0,0,20260106,20260203
6116,1,1,1,1,1,0,0,20260106,20260203
6130,1,1,1,1,1,0,0,20260106,20260203
6134,1,1,1,1,1,0,0,20260106,20260203
6138,1,1,1,1,1,0,0,20260106,20260203
6142,1,1,1,1,1,0,0,20260106,20260203
6146,1,1,1,1,1,0,0,20260106,20260203
6150,1,1,1,1,1,0,0,20260106,20260203
849,1,1,1,1,1,1,1,20260106,20260211
831,1,1,1,1,1,1,1,20260106,20260211
833,1,1,1,1,1,1,1,20260106,20260211
835,1,1,1,1,1,1,1,20260106,20260211
837,1,1,1,1,1,1,1,20260106,20260211
841,1,1,1,1,1,1,1,20260106,20260211
843,1,1,1,1,1,0,0,20260106,20260211
845,1,1,1,1,1,1,1,20260106,20260211
865,1,1,1,1,1,1,1,20260106,20260211
863,0,1,1,1,1,1,1,20260106,20260211
861,1,1,1,1,1,1,1,20260106,20260211
811,1,1,1,1,1,1,1,20251214,20261212
803,1,1,1,1,1,1,1,20251214,20261212
6131,1,1,1,1,1,0,0,20260106,20260203
875,1,1,1,1,1,1,1,20260106,20260211
873,1,1,1,1,1,1,1,20260106,20260211
871,1,0,0,0,0,1,1,20260106,20260203
