route_id,service_id,trip_id,trip_headsign
3111,703,78900, Rīga
3111,703,78914, Rīga
3111,703,78362, Rīga
1311,704,78345, Ludza
1311,704,78897, Ludza
1311,704,78909, Ludza
1311,704,78341, Ludza
2691,705,78327, Rīga
2691,705,78853, Rīga
1269,706,78314, Krāslava
1269,706,78843, Krāslava
3131,707,78885, Rīga
1313,708,78864, Indra
1300,721,78141, Liepāja
3001,722,78165, Rīga
1300,723,78153, Liepāja
3001,724,78157, Rīga
2431,801,78275, Rīga
1243,802,78265, Daugavpils
4461,803,78135, Rīga
1446,804,78107, Zilupe
2911,805,78224, Rīga
2911,805,78222, Rīga
1291,806,78185, Gulbene
1291,806,78183, Gulbene
2911,807,78234, Rīga
2431,809,78277, Rīga
1243,810,78267, Daugavpils
4461,811,78128, Rīga
1446,812,78123, Zilupe
2431,813,78279, Rīga
1243,814,78269, Daugavpils
3151,815,78238, Rīga
1315,816,78202, Madona
1315,816,78204, Madona
3151,817,78244, Rīga
3151,817,78240, Rīga
2911,819,78256, Rīga
1291,820,78210, Gulbene
2431,821,78281, Rīga
1243,822,78272, Daugavpils
2431,823-6243,78283, Rīga
2431,825,78284, Rīga
1408,830,78682, Sigulda
4081,831,78670, Rīga
1408,832,78684, Sigulda
1408,832,79141, Sigulda
4081,833,78672, Rīga
1408,834,78687, Sigulda
1408,834,78686, Sigulda
4081,835,78675, Rīga
1408,836,78688, Sigulda
1408,836,79146, Sigulda
4081,837,78676, Rīga
1408,838,78689, Sigulda
1408,838,79151, Sigulda
2331,839,78678, Rīga
1233,840,78690, Cēsis
4081,841,78677, Rīga
1408,842,78691, Sigulda
4081,843,78679, Rīga
1408,844,78693, Sigulda
4081,845,78680, Rīga
1408,846,78702, Sigulda
2331,847,78669, Rīga
1233,848,78705, Cēsis
4081,849,78668, Rīga
1408,850,78706, Sigulda
4321,861,78671, Rīga
1432,862,78681, Valmiera
4321,863,78663, Rīga
1432,864,78692, Valmiera
4321,865,78662, Rīga
1432,866,78694, Valmiera
1432,868,78703, Valmiera
4601,871,78712, Rīga
4601,871,78710, Rīga
1460,872,78714, Valga
1460,872,78713, Valga
4601,873,78708, Rīga
1460,874,78715, Valga
4601,875,78707, Rīga
1460,876,78716, Valga
